Time;Tankdruk;Verdampingsdruk;Verdampingstemperatuur;Condensatiedruk;Condensatietemperatuur;VerdamperFAN sturing;FDVerdamperInterval;VerdamperFAN MODE Control;FDVerdamperFanPulsenNodig;FDVerdamperFanPulsen;FDCondensorInterval;CondensorFAN MODE Control;CondensorFAN sturing;FDCondensorPulsen;FDCondensorPulsenNodig;Gewicht Opslagtank;Compessor;S1 Lekken;S1 Bijvullen;S2 Start;LekkenVullen MODE Control;Alarm State;Cel Temperatuur;Verwarming Interval;Verwarming MODE Control;Verwarming sturing;Verwarming PulsenNodig;Verwarming sturing PWM1;Verwarming Pulsen;Stuurstroom;OFF Koel ON Vries;Gewicht Target;Vloeistofklep dicht;HD Overstortklep;FD Bijvullen;Bijvullen Actief;Lekken Actief;Reset;FDlekkkenInterval;FDlekkkenPulsenNodig;FDlekkkenPulsen;FD Lekken aktief;FD Lekken Klaar;FD Bijvullen aktief;Deurschakelaar;Deurcilinder;Deurmagneet;CondensorSchuif Interval;Condensor schuif;CondensorSchuif MODE Control;CondensorSchuif PulsenNodig;CondensorSchuif Pulsen;Seconden Aan Pulse (sec);Seconden Uit Pulse;Capaciteit_Regeling
2025-04-04 20:34:00;7,5;1,3;-27,0;14,9;34,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Off;Off;Off;Off;0,0;-214748364,8;-18,1;28,5;4,0;0,0;20,0;0,0;20,0;On;On;0,0;Off;Off;Off;Off;Off;Off;0,0;0,0;0,0;Off;Off;Off;On;Off;Off;141,1;100,0;3,0;100,0;100,0;2,0;01:00;Off
2025-04-04 20:34:15;7,5;1,4;-26,3;14,7;33,6;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Off;Off;Off;Off;0,0;-214748364,8;-18,1;28,5;4,0;0,0;20,0;0,0;20,0;On;On;0,0;Off;Off;Off;Off;Off;Off;0,0;0,0;0,0;Off;Off;Off;On;Off;Off;141,1;100,0;3,0;100,0;100,0;2,0;01:00;Off
2025-04-04 20:34:30;7,5;1,4;-26,0;14,8;33,8;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Off;Off;Off;Off;0,0;-214748364,8;-18,1;28,5;4,0;0,0;20,0;0,0;20,0;On;On;0,0;Off;Off;Off;Off;Off;Off;0,0;0,0;0,0;Off;Off;Off;On;Off;Off;141,1;100,0;3,0;100,0;100,0;2,0;01:00;Off
2025-04-04 20:34:45;7,5;1,4;-25,8;14,7;33,7;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Off;Off;Off;Off;0,0;-214748364,8;-18,0;28,5;4,0;0,0;20,0;0,0;20,0;On;On;0,0;Off;Off;Off;Off;Off;Off;0,0;0,0;0,0;Off;Off;Off;On;Off;Off;141,1;100,0;3,0;100,0;100,0;2,0;01:00;Off
2025-04-04 20:35:00;7,5;1,5;-25,3;14,7;33,6;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Off;Off;Off;Off;0,0;-214748364,8;-17,9;28,5;4,0;0,0;20,0;0,0;20,0;On;On;0,0;Off;Off;Off;Off;Off;Off;0,0;0,0;0,0;Off;Off;Off;On;Off;Off;141,1;100,0;3,0;100,0;100,0;2,0;01:00;Off
2025-04-04 20:35:15;7,5;1,5;-25,4;14,8;33,8;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Off;Off;Off;Off;0,0;-214748364,8;-17,9;28,5;4,0;0,0;20,0;0,0;20,0;On;On;0,0;Off;Off;Off;Off;Off;Off;0,0;0,0;0,0;Off;Off;Off;On;Off;Off;141,1;100,0;3,0;100,0;100,0;2,0;01:00;Off
2025-04-04 20:35:30;7,5;1,5;-24,9;14,7;33,5;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Off;Off;Off;Off;0,0;-214748364,8;-17,7;28,5;4,0;0,0;20,0;0,0;20,0;On;On;0,0;Off;Off;Off;Off;Off;Off;0,0;0,0;0,0;Off;Off;Off;On;Off;Off;141,1;100,0;3,0;100,0;100,0;2,0;01:00;Off
2025-04-04 20:35:45;7,5;1,5;-25,0;14,8;33,8;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Off;Off;Off;Off;0,0;-214748364,8;-17,6;28,5;4,0;0,0;20,0;0,0;20,0;On;On;0,0;Off;Off;Off;Off;Off;Off;0,0;0,0;0,0;Off;Off;Off;On;Off;Off;141,1;100,0;3,0;100,0;100,0;2,0;01:00;Off
2025-04-04 20:36:00;7,5;1,6;-24,5;14,6;33,4;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Off;Off;Off;Off;0,0;-214748364,8;-17,4;28,5;4,0;0,0;20,0;0,0;20,0;On;On;0,0;Off;Off;Off;Off;Off;Off;0,0;0,0;0,0;Off;Off;Off;On;Off;Off;141,1;100,0;3,0;100,0;100,0;2,0;01:00;Off
2025-04-04 20:36:15;7,5;1,5;-24,8;14,7;33,6;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;Off;Off;Off;Off;0,0;-214748364,8;-17,3;28,5;4,0;0,0;20,0;0,0;20,0;On;On;0,0;Off;Off;Off;Off;Off;Off;0,0;0,0;0,0;Off;Off;Off;On;Off;Off;141,1;100,0;3,0;100,0;100,0;2,0;01:00;Off
